구,행정동,인구수,동물소유자수,동물소유자당_동물등록수,등록주체_시군구,등록주체_대행업체,등록주체_기타(이벤트등),종류(RFID종류_내장형),종류(RFID종류_외장형),종류(RFID종류_인식표),등록_품종수,미승인,반려,합계
수정구,고등동,11668,388.0,1.41,33.0,513.0,0.0,311.0,182.0,53.0,91.0,0.0,3.0,546.0
분당구,구미1동,16036,997.9,1.31,158.0,1149.1,1.1,722.8,504.2,81.2,63.1,0.4,0.4,1308.2
분당구,구미동,27869,1630.1,1.31,266.0,1864.9,1.9,1176.2,825.8,130.8,60.9,0.6,0.6,2132.8
분당구,금곡동,26675,1821.0,1.29,318.0,2037.0,0.0,1312.0,923.0,120.0,114.0,0.0,1.0,2355.0
중원구,금광1동,19585,989.1,1.31,108.4,1183.5,0.5,813.0,404.4,75.0,35.2,0.0,0.5,1292.4
중원구,금광2동,23225,1172.9,1.31,128.6,1403.5,0.5,964.0,479.6,89.0,41.8,0.0,0.5,1532.6
수정구,단대동,14100,804.0,1.35,77.0,1010.0,0.0,698.0,309.0,80.0,58.0,0.0,2.0,1087.0
중원구,도촌동,25682,1447.0,1.26,131.0,1693.0,0.0,986.0,735.0,103.0,131.0,0.0,2.0,1824.0
분당구,백현동,26208,1383.0,1.31,179.0,1632.0,2.0,1097.0,599.0,117.0,78.0,0.0,2.0,1813.0
수정구,복정동,13540,545.0,1.34,47.0,678.0,5.0,476.0,200.0,54.0,59.0,0.0,1.0,730.0
분당구,분당동,24362,1568.0,1.33,224.0,1867.0,0.0,1273.0,676.0,142.0,80.0,0.0,1.0,2091.0
수정구,산성동,4375,549.0,1.31,91.0,628.0,1.0,423.0,228.0,69.0,49.0,0.0,2.0,720.0
분당구,삼평동,23518,1117.0,1.24,138.0,1244.0,0.0,769.0,535.0,78.0,70.0,0.0,0.0,1382.0
중원구,상대원1동,22289,1906.4,1.35,185.3,2396.0,0.0,1740.2,706.9,134.2,58.5,0.0,1.2,2581.3
중원구,상대원2동,2896,247.7,1.35,24.1,311.3,0.0,226.1,91.8,17.4,7.6,0.0,0.2,335.4
중원구,상대원3동,11012,941.9,1.35,91.6,1183.7,0.0,859.7,349.2,66.3,28.9,0.0,0.6,1275.3
분당구,서현1동,30592,2011.7,1.26,278.4,2245.1,2.6,1463.9,864.5,197.7,89.2,0.0,3.2,2526.1
분당구,서현2동,17201,1092.3,1.25,152.6,1212.9,1.4,791.1,467.5,108.3,33.8,0.0,1.8,1366.9
중원구,성남동,31794,2051.0,1.34,231.0,2516.0,0.0,1804.0,746.0,197.0,84.0,0.0,3.0,2747.0
분당구,수내1동,17832,1111.5,1.25,161.8,1222.3,0.4,782.2,523.4,79.0,36.7,0.0,2.2,1384.6
분당구,수내2동,10336,644.2,1.25,93.8,708.5,0.3,453.4,303.4,45.8,21.3,0.0,1.3,802.5
분당구,수내3동,13161,820.3,1.25,119.4,902.2,0.3,577.3,386.3,58.3,27.1,0.0,1.6,1021.9
수정구,수진1동,10686,793.6,1.54,77.9,1143.1,0.4,828.3,343.1,50.1,38.1,0.0,3.0,1221.5
수정구,수진2동,14264,1059.4,1.54,104.1,1525.9,0.6,1105.7,457.9,66.9,50.9,0.0,4.0,1630.5
수정구,시흥동,3599,274.0,1.64,36.0,411.0,1.0,257.0,163.0,28.0,97.0,0.0,0.0,448.0
수정구,신촌동,4456,239.0,1.65,30.0,365.0,0.0,253.0,110.0,32.0,79.0,0.0,0.0,395.0
수정구,신흥1동,11962,649.5,1.36,63.7,817.8,0.4,563.3,261.5,57.0,19.2,0.0,1.8,881.9
수정구,신흥2동,31526,1711.9,1.36,167.8,2155.3,1.2,1484.6,689.3,150.3,50.7,0.0,4.7,2324.2
수정구,신흥3동,10619,576.6,1.36,56.5,726.0,0.4,500.1,232.2,50.6,17.1,0.0,1.6,782.9
분당구,야탑1동,16488,843.0,1.34,132.0,996.9,1.1,681.7,386.9,61.3,26.4,0.0,0.3,1129.9
분당구,야탑2동,15549,794.9,1.34,124.4,940.1,1.1,642.9,364.8,57.8,24.9,0.0,0.3,1065.6
분당구,야탑3동,26564,1358.1,1.34,212.6,1606.1,1.8,1098.4,623.3,98.8,42.6,0.0,0.5,1820.5
수정구,양지동,8842,567.0,1.24,58.0,643.0,1.0,426.0,247.0,29.0,53.0,0.0,1.0,702.0
분당구,운중동,38600,1527.0,1.5,178.0,2111.0,0.0,1320.0,848.0,121.0,161.0,0.0,4.0,2289.0
수정구,위례동,45242,2000.0,1.35,107.0,2587.0,14.0,1479.0,918.0,311.0,78.0,0.0,6.0,2708.0
중원구,은행1동,9250,685.1,1.37,84.9,855.6,0.3,590.2,293.2,57.5,26.5,0.0,1.6,940.9
중원구,은행2동,20371,1508.9,1.37,187.1,1884.4,0.7,1299.8,645.8,126.5,58.5,0.0,3.4,2072.1
분당구,이매1동,24529,1352.0,1.24,157.2,1523.0,0.7,987.7,547.8,145.3,55.9,0.0,0.7,1680.8
분당구,이매2동,12772,704.0,1.24,81.8,793.0,0.3,514.3,285.2,75.7,29.1,0.0,0.3,875.2
분당구,정자1동,30354,2207.0,1.29,195.4,2655.8,2.4,1720.2,989.0,144.4,48.6,0.0,3.3,2853.7
분당구,정자2동,13850,1007.0,1.29,89.2,1211.8,1.1,784.9,451.3,65.9,22.2,0.0,1.5,1302.1
분당구,정자3동,16483,1198.5,1.29,106.1,1442.2,1.3,934.1,537.1,78.4,26.4,0.0,1.8,1549.6
분당구,정자동,13706,996.5,1.29,88.2,1199.2,1.1,776.7,446.6,65.2,21.9,0.0,1.5,1288.6
중원구,중앙동,16530,1201.0,1.46,105.0,1645.0,0.0,1315.0,366.0,69.0,85.0,0.0,1.0,1750.0
수정구,태평1동,13538,1011.7,1.38,116.4,1275.2,0.3,864.4,441.2,86.3,27.4,0.0,1.1,1391.8
수정구,태평2동,13568,1013.9,1.38,116.7,1278.0,0.3,866.3,442.2,86.5,27.4,0.0,1.1,1394.9
수정구,태평3동,11500,859.4,1.38,98.9,1083.2,0.2,734.2,374.8,73.3,23.3,0.0,0.9,1182.3
수정구,태평4동,10825,809.0,1.38,93.1,1019.6,0.2,691.1,352.8,69.0,21.9,0.0,0.9,1112.9
분당구,판교동,26302,1093.0,1.3,126.0,1294.0,0.0,811.0,513.0,96.0,72.0,0.0,3.0,1420.0
중원구,하대원동,19470,1232.0,1.31,164.0,1448.0,0.0,1085.0,409.0,118.0,66.0,0.0,0.0,1612.0
