구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도,설치연도,노후도,펫존거리,공공시설여부,면적,클러스터,Z점수,순위,선택순위,누적합
수정구,위례동,553098,주택단지,실외,위례 힐스테이트 5712동앞 놀이터(3),경기도 성남시 수정구 위례동로 15,328.0,2015-09-02,민간,정글짐(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-31,Y,Y,N,2025-07-05,37.46465327,127.1438213,2015,10,3.2984291089396676,0,328.0,2,1311.8661059150345,1,1,1311.8661059150345
수정구,신흥2동,538708,주상복합,실외,성남신동아파라디움 놀이터,경기도 성남시 수정구 공원로 322,227.0,2006-02-17,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2022-09-06,Y,N,N,2025-07-05,37.4433301,127.1516682,2006,19,1.8898866144843312,0,227.0,2,1274.0533103386942,2,2,2585.9194162537287
분당구,운중동,30666,주택단지,실외,산운마을8단지 부영아파트 804동 옆 놀이터,경기도 성남시 분당구 산운로 98,328.0,2008-12-01,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-17,Y,Y,N,2025-07-05,37.39202261,127.0719187,2008,17,3.053789368365637,0,328.0,2,1210.333621973669,3,3,3796.253038227398
중원구,성남동,16348,주택단지,실외,성남동 금호어울림아파트 놀이터,경기도 성남시 중원구 둔촌대로171번길 6,647.0,2006-08-29,민간,그네(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-16,Y,Y,N,2025-07-05,37.43096309,127.137717,2006,19,1.7265374553768786,0,647.0,2,902.4120784026428,4,4,4698.665116630041
분당구,금곡동,39895,도시공원,실외,야생화(72호) 어린이공원,경기도 성남시 분당구 금곡동 175,640.0,2009-12-29,공공,그네(1)+흔들놀이기구(7)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-12-26,Y,Y,N,2025-07-05,37.35159027,127.1066481,2009,16,1.4515085186694563,1,640.0,2,752.6881950187301,6,5,5451.353311648771
분당구,정자1동,556621,주택단지,실외,정든마을 우성6차 613동앞 놀이터,경기도 성남시 분당구 불정로 195,328.0,2016-07-11,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+철봉(1)+충격흡수용표면재(모래)(1),2022-12-01,Y,Y,N,2025-07-05,37.36255076,127.1215568,2016,9,1.3068165946657204,0,328.0,2,727.3173134038434,7,6,6178.670625052614
중원구,금광2동,39503,공공도서관,실외,중원어린이도서관 놀이터,경기도 성남시 중원구 산성대로408번길 42,640.0,2010-07-19,공공,흔들놀이기구(4)+조합놀이대(1)+기타(2)+충격흡수용표면재(포설도포바닥재)(1),2022-12-23,Y,N,N,2025-07-05,37.44771046,127.1631116,2010,15,0.8792862670120428,1,640.0,2,697.8360312607115,8,7,6876.506656313326
분당구,야탑3동,16330,주택단지,실외,분당 대진빌라 805동옆 놀이터,경기도 성남시 분당구 판교로 654,255.762,2005-05-01,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-12-08,Y,Y,N,2025-07-05,37.40518973,127.1451838,2005,20,2.071038151939551,0,255.762,2,612.3839214825892,9,8,7488.890577795915
분당구,분당동,34363,도시공원,실외,태현공원 놀이터,경기도 성남시 분당구 분당동 88,1338.0,2009-09-03,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-08-16,Y,Y,N,2025-07-05,37.36945584,127.1436787,2009,16,1.1263555556569456,1,1338.0,2,552.9078840808244,10,9,8041.79846187674
분당구,이매1동,24823,도시공원,실외,누엣길(26호) 어린이공원,경기도 성남시 분당구 이매동 125,316.5,2008-07-29,공공,그네(1)+회전놀이기구(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,2025-07-05,37.38988924,127.1256515,2008,17,1.1363532819213233,1,316.5,2,499.0041912122584,11,10,8540.802653088998
분당구,판교동,1402,주택단지,실외,판교원마을13단지 휴먼시아 313동좌측 놀이터,경기도 성남시 분당구 서판교로 193,92.0,2009-11-18,민간,그네(1)+흔들놀이기구(2)+충격흡수용표면재(포설도포바닥재)(1),2023-02-16,Y,Y,N,2025-07-05,37.40161015,127.0920153,2009,16,1.7029328290665355,0,92.0,2,423.6901037195471,12,11,8964.492756808546
분당구,구미동,36423,도시공원,실외,진고개공원 놀이터,경기도 성남시 분당구 구미동 209,316.5,2009-09-03,공공,조합놀이대(1)+기타(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-14,Y,N,N,2025-07-05,37.33541051,127.11461,2009,16,0.8544706589573451,1,316.5,2,406.8137841356185,13,12,9371.306540944164
중원구,은행2동,29969,도시공원,실외,은행2동 은행 어린이공원,경기도 성남시 중원구 은행2동 1417-1,316.5,2007-04-04,공공,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-20,Y,Y,N,2025-07-05,37.45544056,127.1651569,2007,18,1.2539521697165732,1,316.5,2,309.47025249597056,14,13,9680.776793440134
중원구,도촌동,16351,주택단지,실외,동분당포레스트 경비실 옆 놀이터,경기도 성남시 중원구 도촌남로 67,275.0,2007-12-10,민간,조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-04-25,Y,Y,N,2025-07-05,37.41490038,127.1541489,2007,18,2.80014543210982,0,275.0,2,270.32551899208164,15,14,9951.102312432216
분당구,백현동,23877,도시공원,실외,숲안(판교12호) 어린이공원,경기도 성남시 분당구 백현동 548,259.0,2009-12-04,공공,그네(1)+미끄럼틀(2)+흔들놀이기구(3)+오르는기구(1)+조합놀이대(3)+충격흡수용표면재(포설도포바닥재)(1),2023-09-08,Y,Y,N,2025-07-05,37.38901895,127.1158529,2009,16,0.9016885107410104,1,259.0,2,255.4060963229068,16,15,10206.508408755124
중원구,금광1동,528232,주택단지,실외,삼익금광아파트 101동 놀이터,경기도 성남시 중원구 자혜로16번길 9,328.0,2011-11-14,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-19,Y,Y,N,2025-07-05,37.44910725,127.1615719,2011,14,1.0534187686401209,0,328.0,2,128.2412522359537,19,16,10334.749660991078
중원구,하대원동,500186,주택단지,실외,하대원 아튼빌 1015동앞놀이터,경기도 성남시 중원구 둔촌대로 300,328.0,2003-10-16,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-01,Y,Y,N,2025-07-05,37.42910503,127.1498519,2003,22,2.760247283739611,0,328.0,2,108.11758472325084,20,17,10442.86724571433
분당구,서현1동,1471,도시공원,실외,수련(36호) 어린이공원,경기도 성남시 분당구 서현동 314-1,316.5,2009-12-09,공공,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-12-27,Y,Y,N,2025-07-05,37.37245825,127.1405939,2009,16,0.8921074288872554,1,316.5,2,93.7523751944624,21,18,10536.619620908792
중원구,중앙동,29967,도시공원,실외,대원공원 햇빛 물이용놀이터,경기도 성남시 중원구 중앙동 1436,316.5,2006-10-25,공공,그네(1)+흔들놀이기구(2)+조합놀이대(1)+물이용놀이기구(조합놀이대형)(1)+물이용놀이기구(기타)+ 단품)(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-10,Y,Y,Y,2025-07-05,37.44223415,127.1573559,2006,19,1.4262715989914196,1,316.5,2,75.5376353819775,22,19,10612.15725629077
